num_iterations,decomposed_depth,transpiled_depth,original_depth,num_gates_original,num_gates_transpiled,L,g
0,267,326,21,229,523,4,3
1,8580,11505,39,899,16078,8,3
1,20122,23834,74,793,35994,16,3
2,83622,120300,146,1648,166377,32,3
3,313447,400290,286,4509,629425,64,3
5,1641020,1891963,581,14720,2962083,128,3
