decomposed_depth,transpiled_depth,original_depth,num_gates_original,num_gates_transpiled,N,kappa,s_sparsity
318,290,4,323,443,2,,3
2416,2592,4,2598,3552,4,,3
35655,36533,4,35123,51487,8,,3
420838,458110,4,361958,524012,16,,3
7452569,8105484,4,6401365,9234789,32,,3
