num_iterations,decomposed_depth,transpiled_depth,original_depth,num_gates_original,num_gates_transpiled,L,g
1,4754,6175,22,373,10354,4,2
1,8228,11055,39,899,15062,8,2
2,35185,41760,75,1113,62799,16,2
3,116513,167978,147,2244,230675,32,2
4,403604,513095,287,5709,808967,64,2
6,1910100,2236234,582,17280,3476068,128,2
