decomposed_depth,transpiled_depth,original_depth,num_gates_original,num_gates_transpiled,N,kappa,s_sparsity,d_avg
1237,540,4,489,2005,2,,3,2.1447368421052633
9354,6287,4,3454,15010,4,,3,3.4306451612903226
32449,25810,4,12357,56166,8,,3,4.69839255499154
87620,76312,4,33638,159831,16,,3,5.935789473684211
254685,227588,4,97335,476740,32,,3,7.154053778773681
