decomposed_depth,transpiled_depth,original_depth,num_gates_original,num_gates_transpiled,N,kappa,s_sparsity
646,581,4,647,974,2,,3
3516,3481,4,3470,5236,4,,3
39520,40127,4,37549,57358,8,,3
388372,391994,4,361980,561622,16,,3


