decomposed_depth,transpiled_depth,original_depth,num_gates_original,num_gates_transpiled,N,kappa,s_sparsity
355,316,4,489,494,2,,3
4277,4299,4,3456,6499,4,,3
15987,18208,4,12365,25318,8,,3
43180,49937,4,33660,74288,16,,3
130197,149998,4,97387,232089,32,,3
278408,323239,4,205568,508100,64,,3
353,311,4,489,497,2,,3
358,306,4,489,507,2,,3
4280,4317,4,3456,6476,4,,3
