decomposed_depth,transpiled_depth,original_depth,num_gates_original,num_gates_transpiled,N,kappa,s_sparsity
339,438,4,323,498,2,,3
2952,3370,4,2598,4202,4,,3
40501,48231,4,35743,56637,8,,3
413562,498938,4,361958,580949,16,,3
3658225,4451163,4,3188233,5160040,32,,3


