decomposed_depth,transpiled_depth,original_depth,num_gates_original,num_gates_transpiled,N,kappa,s_sparsity
351,414,4,489,540,2,,3
5164,6443,4,3454,7260,4,,3
19345,26360,4,12357,30136,8,,3
55262,76992,4,33638,90625,16,,3
152614,224058,4,97335,243780,32,,3
331878,488685,4,205454,553856,64,,3
667273,983769,4,405081,1153106,128,,3
