num_iterations,decomposed_depth,transpiled_depth,original_depth,num_gates_original,num_gates_transpiled,L,g
1,4332,5657,10,150,9113,4,2
1,5155,6968,10,152,10184,8,2
2,11003,14996,11,256,22787,16,2
3,20207,26701,12,364,40564,32,2
4,30081,38749,13,476,61368,64,2
6,51283,64766,15,700,104223,128,2
