decomposed_depth,transpiled_depth,original_depth,num_gates_original,num_gates_transpiled,N,kappa,s_sparsity
2482,2623,4,9470,3612,4,,3
39199,39884,4,134873,56714,8,,3
388409,391737,4,1295310,562031,16,,3
3431819,3438344,4,11392925,4977086,32,,3
